Entity,Code,Year,Share of global deforestation
Africa,,1990,25.89455051207485
Africa,,2000,28.537408215915853
Africa,,2010,37.65782560799932
Africa,,2015,43.487684729064036
Algeria,DZA,1990,0.09356429384245796
Algeria,DZA,2000,0.09591850234834956
Algeria,DZA,2010,0.011863401406660451
Algeria,DZA,2015,0.05320197044334976
Argentina,ARG,1990,1.3503603489695284
Argentina,ARG,2000,2.165773632334458
Argentina,ARG,2010,2.054063214981781
Argentina,ARG,2015,1.3280788177339904
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Asia,,1990,26.36237198128714
Asia,,2000,17.754845538135875
Asia,,2010,24.786035081772734
Asia,,2015,22.019704433497534
Australia,AUS,1990,3.9587811354153497
Australia,AUS,2000,4.182708209300786
Australia,AUS,2010,3.5322430302516734
Austria,AUT,1990,0.021810595524086485
Austria,AUT,2000,0.05153138850300985
Austria,AUT,2010,0.04914837725616473
Austria,AUT,2015,0.05724137931034483
Azerbaijan,AZE,2010,0.6918057791712567
Azerbaijan,AZE,2015,0.8508374384236452
Bahrain,BHR,1990,0.00006321911746112025
Bahrain,BHR,2000,0.00006615069127472382
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bangladesh,BGD,1990,0.04741433809584018
Bangladesh,BGD,2000,0.021168221207911626
Bangladesh,BGD,2010,0.15413947970510974
Bangladesh,BGD,2015,0
Belarus,BLR,2000,0.04762849771780115
Belarus,BLR,2010,0.034742818405219894
Belarus,BLR,2015,0.03448275862068965
Belgium,BEL,2010,0.01533768324718244
Belgium,BEL,2015,0.014778325123152709
Belize,BLZ,1990,0.08894929826779617
Belize,BLZ,2000,0.044916319375537465
Belize,BLZ,2010,0.09922887890856708
Belize,BLZ,2015,0.10995073891625616
Bhutan,BTN,1990,0
Bhutan,BTN,2000,0.0012568631342197527
Bhutan,BTN,2010,0.0028811117701889677
Bhutan,BTN,2015,0.004236453201970443
Bolivia,BOL,1990,1.7090024023264636
Bolivia,BOL,2000,1.3233445789508502
Bolivia,BOL,2010,1.61588001016863
Bolivia,BOL,2015,2.389556650246305
Brazil,BRA,1990,26.89847009735744
Brazil,BRA,2000,33.93067407554409
Brazil,BRA,2010,15.827472248114564
Brazil,BRA,2015,16.706403940886698
Bulgaria,BGR,1990,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Burundi,BDI,1990,0.0521557719054242
Burundi,BDI,2000,0
Burundi,BDI,2010,0
Burundi,BDI,2015,0
Cameroon,CMR,1990,0.5724491086104437
Cameroon,CMR,2000,0.4743004564397698
Cameroon,CMR,2010,0.4914837725616473
Cameroon,CMR,2015,0.5714285714285714
Canada,CAN,1990,0.3440384372234164
Canada,CAN,2000,0.3337302374809817
Canada,CAN,2010,0.3499703414964833
Canada,CAN,2015,0.3696551724137931
Cape Verde,CPV,2000,0.018786796322021564
Cape Verde,CPV,2010,0.016100330480467755
Cape Verde,CPV,2015,0.008078817733990147
Cayman Islands,CYM,1990,0.0001264382349222405
Cayman Islands,CYM,2000,0.00013230138254944764
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,0.18965735238336076
Central African Republic,CAF,2000,0.1984520738241715
Central African Republic,CAF,2010,0.25421574442843825
Central African Republic,CAF,2015,0.2955665024630542
Chile,CHL,1990,0.06391452775319256
Chile,CHL,2000,0.09400013230138256
Chile,CHL,2010,0.09550038132361664
Chile,CHL,2015,0.09261083743842366
China,CHN,1990,2.0706789733215327
China,CHN,2000,2.0689290203082624
China,CHN,2010,2.796118972968393
China,CHN,2015,1.3123152709359605
Colombia,COL,1990,1.4485396383866482
Colombia,COL,2000,1.4178077660911557
